index,id,language,setCode,translation
149,150,Spanish,MMQ,
150,151,Chinese Simplified,PCY,
151,152,Chinese Traditional,PCY,
152,153,French,PCY,Prophétie
153,154,German,PCY,
154,155,Italian,PCY,
155,156,Japanese,PCY,
156,157,Korean,PCY,
157,158,Portuguese (Brazil),PCY,
158,159,Russian,PCY,
159,160,Spanish,PCY,
160,161,Chinese Simplified,RIX,
161,162,Chinese Traditional,RIX,
162,163,French,RIX,Les combattants d'Ixalan
163,164,German,RIX,
164,165,Italian,RIX,
165,166,Japanese,RIX,
166,167,Korean,RIX,
167,168,Portuguese (Brazil),RIX,
168,169,Russian,RIX,
169,170,Spanish,RIX,
170,171,Chinese Simplified,RNA,
171,172,Chinese Traditional,RNA,
172,173,French,RNA,L'allégeance de Ravnica
173,174,German,RNA,
174,175,Italian,RNA,
175,176,Japanese,RNA,
176,177,Korean,RNA,
177,178,Portuguese (Brazil),RNA,
178,179,Russian,RNA,
179,180,Spanish,RNA,
180,181,Chinese Simplified,SOK,
181,182,Chinese Traditional,SOK,
182,183,French,SOK,Libérateurs de Kamigawa
183,184,German,SOK,
184,185,Italian,SOK,
185,186,Japanese,SOK,
186,187,Korean,SOK,
187,188,Portuguese (Brazil),SOK,
188,189,Russian,SOK,
189,190,Spanish,SOK,
190,191,Chinese Simplified,STH,
191,192,Chinese Traditional,STH,
192,193,French,STH,Forteresse
193,194,German,STH,
194,195,Italian,STH,
195,196,Japanese,STH,
196,197,Korean,STH,
197,198,Portuguese (Brazil),STH,
198,199,Russian,STH,
199,200,Spanish,STH,
200,201,Chinese Simplified,THB,
201,202,Chinese Traditional,THB,
202,203,French,THB,Theros par-delà la mort
203,204,German,THB,
204,205,Italian,THB,
205,206,Japanese,THB,
206,207,Korean,THB,
207,208,Portuguese (Brazil),THB,
208,209,Russian,THB,
209,210,Spanish,THB,
210,211,Chinese Simplified,TMP,
211,212,Chinese Traditional,TMP,
212,213,French,TMP,Tempête
213,214,German,TMP,
214,215,Italian,TMP,
215,216,Japanese,TMP,
216,217,Korean,TMP,
217,218,Portuguese (Brazil),TMP,
218,219,Russian,TMP,
219,220,Spanish,TMP,
220,221,Chinese Simplified,UDS,
221,222,Chinese Traditional,UDS,
222,223,French,UDS,La destinée d'Urza
223,224,German,UDS,
224,225,Italian,UDS,
225,226,Japanese,UDS,
226,227,Korean,UDS,
227,228,Portuguese (Brazil),UDS,
228,229,Russian,UDS,
229,230,Spanish,UDS,
230,231,Chinese Simplified,ULG,
231,232,Chinese Traditional,ULG,
232,233,French,ULG,L'héritage d'Urza
233,234,German,ULG,
234,235,Italian,ULG,
235,236,Japanese,ULG,
236,237,Korean,ULG,
237,238,Portuguese (Brazil),ULG,
238,239,Russian,ULG,
239,240,Spanish,ULG,
240,241,Chinese Simplified,USG,
241,242,Chinese Traditional,USG,
242,243,French,USG,L'épopée d'Urza
243,244,German,USG,
244,245,Italian,USG,
245,246,Japanese,USG,
246,247,Korean,USG,
247,248,Portuguese (Brazil),USG,
248,249,Russian,USG,
249,250,Spanish,USG,
250,251,Chinese Simplified,WAR,
251,252,Chinese Traditional,WAR,
252,253,French,WAR,La Guerre des Planeswlakers
253,254,German,WAR,
254,255,Italian,WAR,
255,256,Japanese,WAR,
256,257,Korean,WAR,
257,258,Portuguese (Brazil),WAR,
258,259,Russian,WAR,
259,260,Spanish,WAR,
260,261,Chinese Simplified,WTH,
261,262,Chinese Traditional,WTH,
262,263,French,WTH,Aquilon
263,264,German,WTH,
264,265,Italian,WTH,
265,266,Japanese,WTH,
266,267,Korean,WTH,
267,268,Portuguese (Brazil),WTH,
268,269,Russian,WTH,
269,270,Spanish,WTH,
